"40";"SAST";"Sacramento State";"Hornets";NULL;NULL;"0";NULL;NULL;"SacramentoState.gif";"Big Sky";;NULL;"ACTIVE"
"2704";"WST";"Weber State";"Wildcats";NULL;NULL;"0";NULL;NULL;"WeberState.gif";"Big Sky";;NULL;"ACTIVE"
"2139";"CHSO";"Charleston Southern";"Buccaneers";NULL;NULL;"0";NULL;NULL;"CharlestonSouthern.gif";"Big South";;NULL;"ACTIVE"
"336";"CC";"Coastal Carolina";"Chanticleers";NULL;NULL;"0";NULL;NULL;"CoastalCarolina.gif";"Big South";;NULL;"ACTIVE"
"2253";"GW";"Gardner-Webb";"Runnin' Bulldogs";NULL;NULL;"0";NULL;NULL;"Gardner-Webb.gif";"Big South";;NULL;"ACTIVE"
"262";"LB";"Liberty";"Flames";NULL;NULL;"0";NULL;NULL;"Liberty.gif";"Big South";;NULL;"ACTIVE"
"2518";"PRES";"Presbyterian";"Blue Hose";NULL;NULL;"0";NULL;NULL;"Presbyterian.gif";"Big South";;NULL;"ACTIVE"
"2631";"STBR";"Stony Brook";"Seawolves";NULL;NULL;"0";NULL;NULL;"StonyBrook.gif";"Big South";;NULL;"ACTIVE"
"2690";"VAMI";"Virginia Military Institute";"Keydets";NULL;NULL;"0";NULL;NULL;"VirginiaMilitaryInstitute.gif";"Big South";;NULL;"ACTIVE"
"60";"DELA";"Delaware";"Fightin Blue Hens";NULL;NULL;"0";NULL;NULL;"Delaware.gif";"CAA";;NULL;"ACTIVE"
"2287";"HOF";"Hofstra";"Pride";NULL;NULL;"0";NULL;NULL;"Hofstra.gif";"CAA";;NULL;"ACTIVE"
"268";"JM";"James Madison";"Dukes";NULL;NULL;"0";NULL;NULL;"JamesMadison.gif";"CAA";;NULL;"ACTIVE"
"323";"ME";"Maine";"Black Bears";NULL;NULL;"0";NULL;NULL;"Maine.gif";"CAA";;NULL;"ACTIVE"
"125";"MA";"Massachusetts";"Minutemen";NULL;NULL;"0";NULL;NULL;"Massachusetts.gif";"CAA";;NULL;"ACTIVE"
"172";"NH";"New Hampshire";"Wildcats";NULL;NULL;"0";NULL;NULL;"NewHampshire.gif";"CAA";;NULL;"ACTIVE"
"123";"NE";"Northeastern";"Huskies";NULL;NULL;"0";NULL;NULL;"Northeastern.gif";"CAA";;NULL;"ACTIVE"
